loop_bandwidth_limit	mean_goodput
250	219.65457690921232
500	420.5958076707363
750	602.6425366298758
1000	781.7214790274323
1250	929.5948141991008
1500	1051.6342838614962
1750	1115.3469323394136
2000	1153.5302238296588
