timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260323201341852616,377,221,75,21
20260323201342853075,377,221,75,21
20260323201343853372,376,221,74,0
20260323201344854297,377,221,75,0
20260323201345855478,442,221,89,0
20260323201346856397,405,221,81,0
20260323201347857557,404,221,81,0
20260323201348859568,378,221,75,0
20260323201349857726,368,221,73,0
20260323201350860802,385,221,77,0
20260323201351863631,381,221,76,0
20260323201352859176,463,221,95,0
20260323201353866502,517,221,108,0
20260323201354867346,515,221,107,0
20260323201355868787,514,221,107,0
20260323201356871080,514,221,107,0
20260323201357872551,514,221,107,0
20260323201358874505,514,221,107,0
20260323201359875082,514,221,107,0
20260323201400875218,514,221,107,0
20260323201401881531,514,221,107,0
20260323201402880635,514,221,107,0
20260323201403884318,514,221,107,0
20260323201404884439,514,221,107,0
20260323201405885475,514,221,107,0
20260323201406887437,514,221,107,0
20260323201407892982,514,221,107,0
20260323201408892731,514,221,107,0
20260323201409893022,514,221,107,0
20260323201410895272,514,221,107,0
20260323201411897530,514,221,107,0
20260323201412899624,514,221,107,0
20260323201413900689,514,221,107,0
20260323201414902462,514,221,107,0
20260323201415904080,514,221,107,0
20260323201416911128,514,221,107,0
20260323201417909291,514,221,107,0
20260323201418909474,514,221,107,0
20260323201419912465,514,221,107,1
20260323201420914561,515,221,107,1
20260323201421915404,514,221,107,1
20260323201422916170,514,221,107,1
20260323201423917296,514,221,107,1
20260323201424927763,514,221,107,1
20260323201425920817,514,221,107,1
20260323201426922185,514,220,107,1
20260323201427924095,514,221,107,1
20260323201428923644,515,220,107,1
20260323201429926171,514,220,107,1
20260323201430927610,515,220,107,1
20260323201431927805,515,220,107,1
20260323201432931275,514,220,107,1
20260323201433931124,515,220,107,1
20260323201434930301,515,220,107,1
20260323201435931927,515,220,107,1
20260323201436932614,514,220,107,1
20260323201437935554,515,220,107,1
20260323201438933925,515,220,107,1
20260323201439936270,515,220,107,1
20260323201440938895,515,220,107,1
20260323201441951072,515,220,107,1
20260323201442939817,515,220,107,1
20260323201443940313,515,220,107,1
20260323201444941789,515,220,107,1
20260323201445942912,515,220,107,1
20260323201446943475,514,220,107,1
20260323201447946192,515,220,107,1
20260323201448946351,514,220,107,1
20260323201449946669,515,220,107,1
20260323201450947615,515,220,107,1
20260323201451949239,515,220,107,1
20260323201452949648,515,220,107,2
20260323201453950822,515,220,107,2
20260323201454951729,515,220,107,2
20260323201455956209,515,220,107,2
20260323201456953869,515,220,107,2
20260323201457957509,515,220,107,2
20260323201458958073,515,220,107,2
20260323201459959166,515,220,107,2
20260323201500959476,515,220,107,2
20260323201501961638,515,220,107,2
20260323201502961558,515,220,107,2
20260323201503962483,515,220,107,2
20260323201504965823,515,220,107,2
20260323201505966112,515,220,107,2
20260323201506966847,515,220,107,2
20260323201507969336,515,220,107,2
20260323201508970937,515,220,107,2
20260323201509971719,515,220,107,2
20260323201510971386,516,220,107,2
20260323201511974843,515,220,107,2
20260323201512976216,514,220,107,2
20260323201513976762,514,220,107,2
20260323201514977468,515,220,107,2
20260323201515978121,515,220,107,2
20260323201516978343,515,220,107,2
20260323201517979591,515,220,107,2
20260323201518980311,515,220,107,2
20260323201519983689,515,220,107,2
20260323201520984520,515,220,107,2
20260323201521987665,515,220,107,2
20260323201522985992,514,221,107,2
20260323201523986888,515,221,107,2
20260323201524988074,514,221,107,2
20260323201525988193,515,221,107,2
20260323201526989831,515,221,107,3
20260323201527990023,514,221,107,3
20260323201528993912,515,220,107,3
20260323201529996039,515,220,107,3
20260323201530995145,515,220,107,3
20260323201531995957,514,220,107,3
20260323201532996368,515,220,107,3
20260323201533997929,515,220,107,3
20260323201534999185,515,220,107,3
20260323201536001552,515,220,107,3
20260323201537002368,514,220,107,3
20260323201538005869,514,220,107,3
20260323201539004900,515,220,107,3
20260323201540006507,515,220,107,3
20260323201541005860,515,220,107,3
20260323201542006720,515,220,107,3
20260323201543008091,515,220,107,3
20260323201544009558,515,220,107,3
20260323201545012703,515,220,107,3
20260323201546010851,515,220,107,3
20260323201547012127,515,220,107,3
20260323201548013486,515,220,107,3
20260323201549014254,515,220,107,3
20260323201550014927,516,220,107,3
20260323201551015933,516,220,107,3
20260323201552016517,515,220,107,3
20260323201553026610,515,220,107,3
20260323201554018030,515,220,107,3
20260323201555019788,515,220,107,3
20260323201556019613,515,220,107,3
20260323201557019706,515,220,107,3
20260323201558022090,515,220,107,3
20260323201559022365,515,220,107,4
20260323201600023772,516,220,107,4
20260323201601024961,515,220,107,4
20260323201602025436,515,220,107,4
20260323201603026278,515,220,107,4
20260323201604026907,515,220,107,4
20260323201605027420,515,220,107,4
20260323201606030164,515,220,107,4
20260323201607030558,515,220,107,4
20260323201608033767,515,220,107,4
20260323201609033474,515,220,107,4
20260323201610032678,515,220,107,4
20260323201611033725,515,220,107,4
20260323201612035950,515,220,107,4
20260323201613037040,515,220,107,4
20260323201614039246,515,220,107,4
20260323201615039280,515,220,107,4
20260323201616041509,515,220,107,4
20260323201617046123,515,220,107,4
20260323201618042702,515,220,107,4
20260323201619045250,515,220,107,4
20260323201620044984,515,220,107,4
20260323201621045533,515,220,107,4
20260323201622046557,515,220,107,4
20260323201623047071,515,220,107,4
20260323201624048286,515,220,107,4
20260323201625048971,515,220,107,4
20260323201626050503,514,220,107,4
20260323201627051687,514,221,107,4
20260323201628054558,515,221,107,4
20260323201629055488,515,220,107,4
20260323201630055448,515,220,107,4
20260323201631055695,515,220,107,4
20260323201632056474,514,220,107,4
20260323201633059555,515,220,107,5
20260323201634059386,515,220,107,5
20260323201635061738,515,220,107,5
20260323201636062751,514,220,107,5
20260323201637062500,515,220,107,5
20260323201638063395,515,220,107,5
20260323201639076152,515,220,107,5
20260323201640065969,515,220,107,5
20260323201641069920,515,220,107,5
20260323201642068147,515,220,107,5
20260323201643069227,515,220,107,5
20260323201644069911,515,220,107,5
20260323201645072734,515,220,107,5
20260323201646073116,515,220,107,5
20260323201647074277,515,220,107,5
20260323201648080872,515,220,107,5
20260323201649087888,515,220,107,5
20260323201650077536,515,220,107,5
20260323201651078045,515,220,107,5
20260323201652080273,515,220,107,5
20260323201653079986,515,220,107,5
20260323201654082174,515,220,107,5
20260323201655085804,515,220,107,5
20260323201656084571,515,220,107,5
20260323201657086564,515,220,107,5
20260323201658085473,514,220,107,5
20260323201659086791,515,220,107,5
20260323201700087952,515,220,107,5
20260323201701090711,515,220,107,5
20260323201702090730,515,220,107,5
20260323201703091393,515,220,107,5
20260323201704092544,515,220,107,5
20260323201705091020,515,220,107,5
20260323201706094666,515,220,107,5
20260323201707094667,515,220,107,6
20260323201708097413,515,220,107,6
20260323201709098114,515,220,107,6
20260323201710101191,515,220,107,6
20260323201711103374,514,220,107,6
20260323201712102830,514,220,107,6
20260323201713107285,515,220,107,6
20260323201714107287,514,220,107,6
20260323201715106748,515,220,107,6
20260323201716107888,515,220,107,6
20260323201717109304,515,220,107,6
20260323201718109958,514,220,107,6
20260323201719110775,515,220,107,6
20260323201720110625,515,221,107,6
20260323201721114182,515,221,107,6
20260323201722113777,514,221,107,6
20260323201723112915,515,220,107,6
20260323201724115764,515,220,107,6
20260323201725114795,515,220,107,6
20260323201726118201,515,220,107,6
20260323201727116691,515,220,107,6
20260323201728120092,514,220,107,6
20260323201729128190,515,220,107,6
20260323201730121084,515,220,107,6
20260323201731122679,515,220,107,6
20260323201732125512,515,220,107,6
20260323201733124210,515,220,107,6
20260323201734126836,515,220,107,6
20260323201735126960,515,220,107,6
20260323201736128103,514,220,107,6
20260323201737136093,515,220,107,6
