loop_bandwidth_limit	mean_goodput
250	232.17452809198608
500	447.9068203749125
750	658.6249382284644
1000	847.2138716540591
1250	939.9644726307607
1500	979.2763639385215
1750	966.1204856538526
2000	1003.5301555370888
