timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260323201956428518,587,221,124,38
20260323201957431476,573,221,120,0
20260323201958435772,557,221,117,0
20260323201959436781,546,221,114,0
20260323202000440611,516,221,107,0
20260323202001438654,510,221,106,0
20260323202002441198,515,221,107,0
20260323202003443024,508,221,106,0
20260323202004443286,505,221,105,0
20260323202005444837,519,221,108,0
20260323202006450810,517,221,107,0
20260323202007451237,588,221,124,0
20260323202008451739,596,221,126,0
20260323202009449565,588,221,124,0
20260323202010453251,588,221,124,0
20260323202011454176,588,221,124,0
20260323202012455631,588,221,124,0
20260323202013457452,589,221,124,0
20260323202014457637,597,221,126,0
20260323202015460931,589,221,124,0
20260323202016473581,589,221,124,0
20260323202017473565,589,221,124,0
20260323202018474150,588,220,124,0
20260323202019474990,589,221,124,0
20260323202020476487,597,220,126,0
20260323202021476222,589,220,124,0
20260323202022477505,589,220,124,0
20260323202023478184,589,220,124,0
20260323202024479975,589,220,124,0
20260323202025483922,589,220,124,0
20260323202026480122,597,220,126,1
20260323202027481791,589,220,124,1
20260323202028482381,589,220,124,1
20260323202029494165,589,220,124,1
20260323202030485504,588,220,124,1
20260323202031487424,589,220,124,1
20260323202032495031,597,220,126,1
20260323202033501221,589,220,124,1
20260323202034493192,589,220,124,1
20260323202035498317,589,220,124,1
20260323202036497538,589,220,124,1
20260323202037501451,589,220,124,1
20260323202038500304,597,220,126,1
20260323202039501503,589,220,124,1
20260323202040503683,589,220,124,1
20260323202041511643,588,220,124,1
20260323202042506870,589,220,124,1
20260323202046049928,589,221,124,1
20260323202048971197,589,221,124,1
20260323202049971312,589,220,124,1
20260323202050972239,596,221,126,1
20260323202051975187,589,220,124,1
20260323202052975717,589,220,124,1
20260323202053976232,589,220,124,1
20260323202054978499,588,221,124,2
20260323202055977001,596,221,126,2
20260323202056977904,589,221,124,2
20260323202057978951,588,221,124,2
20260323202058980709,588,221,124,2
20260323202059980882,588,221,124,2
20260323202100981700,588,221,124,2
20260323202101982061,596,221,126,2
20260323202102984841,588,221,124,2
20260323202103991551,588,221,124,2
20260323202104988368,588,221,124,2
20260323202105989825,588,221,124,2
20260323202106992118,588,221,124,2
20260323202107992041,595,221,126,2
20260323202108992837,588,221,124,2
20260323202109992932,588,221,124,2
20260323202110994510,588,221,124,2
20260323202111995714,588,221,124,2
20260323202112995832,589,220,124,2
20260323202113996298,598,220,126,2
20260323202114999593,588,221,124,2
20260323202115999873,588,221,124,2
20260323202117001238,589,221,124,2
20260323202118002317,588,221,124,2
20260323202119004346,588,221,124,2
20260323202120004589,597,221,126,2
20260323202121004292,589,221,124,2
20260323202122006458,588,221,124,2
20260323202123007610,588,221,124,2
20260323202124007914,588,221,124,3
20260323202125007787,588,221,124,3
20260323202126010985,596,221,126,3
20260323202127012879,589,221,124,3
20260323202128012917,588,221,124,3
20260323202129017909,588,221,124,3
20260323202130016560,589,221,124,3
20260323202131016121,588,221,124,3
20260323202132020913,596,221,126,3
20260323202133018655,588,221,124,3
20260323202134018532,588,221,124,3
20260323202135020450,588,221,124,3
20260323202136020406,588,221,124,3
20260323202137021730,588,221,124,3
20260323202138023999,596,221,126,3
20260323202139024916,588,221,124,3
20260323202140024202,588,221,124,3
20260323202141025840,588,221,124,3
20260323202142026463,589,221,124,3
20260323202143028407,588,221,124,3
20260323202144038709,596,221,126,3
20260323202145030217,588,220,124,3
20260323202146030462,588,221,124,3
20260323202147033328,588,221,124,3
20260323202148032145,588,221,124,3
20260323202149036387,589,221,124,3
20260323202150036808,597,221,126,3
20260323202151038393,588,221,124,3
20260323202152039280,589,221,124,3
20260323202153038441,588,221,124,4
20260323202154039519,588,221,124,4
20260323202155040571,588,221,124,4
20260323202156043456,596,221,126,4
20260323202157044511,588,221,124,4
20260323202158044482,588,221,124,4
20260323202159048153,588,221,124,4
20260323202200048454,588,221,124,4
20260323202201047978,588,221,124,4
20260323202202048293,595,221,126,4
20260323202203050459,589,221,124,4
20260323202204051245,588,221,124,4
20260323202205051923,588,221,124,4
20260323202206053483,588,221,124,4
20260323202207054303,588,221,124,4
20260323202208055825,596,221,126,4
20260323202209059697,588,221,124,4
20260323202210056247,588,221,124,4
20260323202211057005,588,220,124,4
20260323202212060928,588,220,124,4
20260323202213058771,589,220,124,4
20260323202214060998,597,220,126,4
20260323202215065083,589,220,124,4
20260323202216061674,589,221,124,4
20260323202217064159,589,220,124,4
20260323202218068928,588,221,124,4
20260323202219067207,589,220,124,4
20260323202220066311,596,221,126,4
20260323202221072922,589,221,124,4
20260323202222069537,588,221,124,5
20260323202223071096,588,221,124,5
20260323202224073478,588,221,124,5
20260323202225072209,588,221,124,5
20260323202226073810,596,221,126,5
20260323202227081784,589,221,124,5
20260323202228075776,588,221,124,5
20260323202229075892,588,221,124,5
20260323202230087347,588,221,124,5
20260323202231079062,588,221,124,5
20260323202232080547,596,221,126,5
20260323202233085199,588,221,124,5
20260323202234081792,587,221,124,5
20260323202235082635,588,221,124,5
20260323202236085601,588,221,124,5
20260323202237084619,588,221,124,5
20260323202238085350,596,221,126,5
20260323202239085636,588,221,124,5
20260323202240087805,588,221,124,5
20260323202241088028,588,221,124,5
20260323202242091153,587,221,124,5
20260323202243089799,588,221,124,5
20260323202244092022,596,221,126,5
20260323202245095447,588,221,124,5
20260323202246093469,588,221,124,5
20260323202247095160,588,221,124,5
20260323202248096219,588,221,124,5
20260323202249095933,588,221,124,5
20260323202250098317,595,221,126,5
20260323202251099791,589,221,124,6
20260323202252102251,588,221,124,6
20260323202253102109,588,221,124,6
20260323202254106098,588,221,124,6
20260323202255105268,588,221,124,6
20260323202256105533,595,221,126,6
20260323202257106579,588,221,124,6
20260323202258106842,588,221,124,6
20260323202259107995,588,221,124,6
20260323202300109303,587,221,124,6
20260323202301111553,587,221,124,6
20260323202302111407,595,221,126,6
20260323202303112024,588,221,124,6
20260323202304115282,587,221,124,6
20260323202305113346,588,221,124,6
20260323202306116558,588,221,124,6
20260323202307115737,588,221,124,6
20260323202308117273,595,221,126,6
20260323202309118652,588,221,124,6
20260323202310119258,588,221,124,6
20260323202311119796,588,221,124,6
20260323202312121594,588,221,124,6
20260323202313122347,587,221,124,6
