0.000000000	94
0.000035366	94
1.017860562	94
1.017903927	94
1.068193042	86
1.068193295	123
1.068251420	86
1.068342590	87
1.118541485	86
1.118541732	90
1.118541802	210
1.118635945	86
1.118678636	87
1.169008107	94
1.169038484	94
1.209813966	86
1.219238310	86
1.219285837	123
1.219300400	86
1.220336677	87
1.220355080	87
1.270594978	2942
1.270625838	86
1.270595198	2942
1.270646595	86
1.270595268	2942
1.270658387	86
1.270595338	2942
1.270666602	86
1.270671555	2942
1.270678272	86
1.320929443	2942
1.320959883	86
1.320929678	2942
1.320980968	86
1.320929745	2942
1.320992943	86
1.320929815	2942
1.321001350	86
1.321009422	2942
1.321016602	98
1.321009535	2942
1.321025182	106
1.321009605	2942
1.321033865	106
1.321009675	2942
1.321041780	106
1.339115971	87
1.371262316	2942
1.371287060	106
1.371262553	2942
1.371307298	106
1.371262643	2942
1.371320958	106
1.371262713	2942
1.371331675	106
1.371340178	2942
1.371347010	106
1.371340290	2942
1.371340360	2942
1.371340430	2942
1.371366955	2942
1.371367037	2942
1.371386752	98
1.371367125	1514
1.371396570	98
1.371367195	1514
1.371404400	98
1.389390059	98
1.421598718	5798
1.421624026	98
1.421598961	1514
1.421644571	98
1.421599051	2942
1.421599121	2942
1.421663098	1514
1.421679778	86
1.471926404	2942
1.471957326	86
1.471926624	2942
1.471978758	86
1.471926694	2942
1.471990451	86
1.471926764	2942
1.471998673	86
1.472005230	2942
1.472005333	2942
1.472047295	86
1.472132587	2942
1.472163417	86
1.472132807	2942
1.472183612	86
1.472132877	2942
1.472195309	86
1.472132947	1514
1.472202857	86
1.522231039	2942
1.522262074	86
1.522231262	2942
1.522283411	86
1.522231332	2942
1.522295753	86
1.522231399	2942
1.522304506	86
1.522312353	2942
1.522319266	86
1.522312461	2942
1.522327543	86
1.522312529	2942
1.522336186	86
1.522312599	2942
1.522344238	86
1.522349096	2942
1.522356298	86
1.522349193	2942
1.522365048	86
1.572565922	2942
1.572589061	98
1.572566159	2942
1.572610286	98
1.572566229	2942
1.572624369	98
1.572566297	2942
1.572633216	98
1.572641456	2942
1.572648329	98
1.572641559	2942
1.572657716	98
1.572641631	2942
1.572665786	98
1.572641699	2942
1.572673926	98
1.572678968	2942
1.572685188	98
1.572679068	2942
1.572693616	98
1.622909484	2942
1.622933744	98
1.622909719	1514
1.622956734	86
1.622909789	7226
1.622972269	86
1.622980484	5798
1.622988606	86
1.622980584	2942
1.622997326	86
1.673213480	2942
1.673238517	86
1.673213715	2942
1.673260374	86
1.673213785	2942
1.673273472	86
1.673213855	2942
1.673281799	86
1.673289584	2942
1.673296354	86
1.673289684	4370
1.673304577	86
1.673289754	1514
1.673311836	86
1.723538732	2942
1.723566080	86
1.723538967	2942
1.723592857	86
1.723539057	2942
1.723539125	2942
1.723611707	86
1.723616939	2942
1.723617237	2942
1.723624092	86
1.723617362	2942
1.723632349	86
1.723617474	1514
1.723640087	86
1.773867483	2942
1.773895012	86
1.773867718	2942
1.773921592	86
1.773867788	2942
1.773867855	2942
1.773940285	86
1.773945445	2942
1.773945637	2942
1.773952302	86
