timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260323195458190495,394,220,78,10
20260323195459192859,379,220,75,0
20260323195500192910,377,220,75,0
20260323195501195677,466,220,95,0
20260323195502197444,410,220,82,0
20260323195503199219,415,220,83,0
20260323195504198745,377,220,74,0
20260323195505201483,370,221,73,0
20260323195506203190,383,220,76,0
20260323195507204416,384,220,76,0
20260323195508203465,397,220,79,0
20260323195509205157,510,220,106,0
20260323195510206736,510,220,106,0
20260323195511207209,510,220,106,0
20260323195512207939,510,220,106,0
20260323195513207312,512,220,106,0
20260323195514209726,510,220,106,0
20260323195515214129,510,220,106,0
20260323195516212276,512,220,106,0
20260323195517214008,512,220,106,0
20260323195518213806,512,220,106,0
20260323195519215320,512,220,106,0
20260323195520216419,512,220,106,0
20260323195521216352,512,220,106,0
20260323195522217536,512,220,106,0
20260323195523219459,514,220,106,0
20260323195524220431,512,220,106,0
20260323195525221758,512,220,106,0
20260323195526223872,512,220,106,0
20260323195527225980,512,220,106,0
20260323195528225240,512,220,106,0
20260323195529226301,513,220,106,0
20260323195530227000,512,220,106,0
20260323195531227908,512,220,106,0
20260323195532231109,512,220,106,0
20260323195533230625,512,220,106,0
20260323195534230312,512,220,106,0
20260323195535232135,512,220,106,1
20260323195536232076,512,220,106,1
20260323195537233029,512,220,106,1
20260323195538234199,512,220,106,1
20260323195539235131,512,220,106,1
20260323195540236107,512,220,106,1
20260323195541237252,512,220,106,1
20260323195542238737,512,220,106,1
20260323195543241364,512,220,106,1
20260323195544244296,512,220,106,1
20260323195545243743,512,221,106,1
20260323195546247700,512,221,106,1
20260323195547249350,512,221,106,1
20260323195548253584,510,221,106,1
20260323195549255155,512,221,106,1
20260323195550255831,512,221,106,1
20260323195551257385,510,221,106,1
20260323195552262811,512,220,106,1
20260323195553260659,512,220,106,1
20260323195554262951,512,220,106,1
20260323195555266395,512,220,106,1
20260323195556267468,512,220,106,1
20260323195557268127,512,220,106,1
20260323195558268826,512,220,106,1
20260323195559270098,513,220,106,1
20260323195600271206,512,220,106,1
20260323195601273364,512,220,106,1
20260323195602273193,512,220,106,1
20260323195603274363,512,220,106,1
20260323195604275172,512,220,106,1
20260323195605277346,512,220,106,1
20260323195606279046,512,220,106,1
20260323195607278813,512,220,106,1
20260323195608281162,512,220,106,1
20260323195609290906,513,220,106,2
20260323195610283250,512,220,106,2
20260323195611283971,512,220,106,2
20260323195612285184,512,220,106,2
20260323195613286465,512,220,106,2
20260323195614287790,512,220,106,2
20260323195615289282,512,220,106,2
20260323195616289337,512,220,106,2
20260323195617290806,512,220,106,2
20260323195618292562,512,220,106,2
20260323195619293337,513,220,106,2
20260323195620294589,512,220,106,2
20260323195621295438,512,220,106,2
20260323195622294825,512,220,106,2
20260323195623300027,512,220,106,2
20260323195624297735,512,220,106,2
20260323195625299738,512,220,106,2
20260323195626300468,512,220,106,2
20260323195627301448,512,220,106,2
20260323195628302039,512,220,106,2
20260323195629302352,513,220,106,2
