loop_bandwidth_limit	mean_goodput
250	224.70137318686338
500	440.7368108935041
750	648.7115364163554
1000	841.6854582196655
1250	1021.2029303998255
1500	1188.046979858147
1750	1198.9641313969726
2000	1217.035730834187
