timestamp,index,name,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,temperature.gpu
2026/03/25 05:27:38.679, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.32, 42
2026/03/25 05:27:39.696, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.32, 42
2026/03/25 05:27:40.696, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 5.65, 43
2026/03/25 05:27:41.697, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 11.22, 43
2026/03/25 05:27:42.698, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 10.62, 43
2026/03/25 05:27:43.698, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 11.28, 43
2026/03/25 05:27:44.699, 0, NVIDIA GB10, 24, 0, [N/A], [N/A], 11.62, 43
2026/03/25 05:27:45.699, 0, NVIDIA GB10, 3, 0, [N/A], [N/A], 10.92, 43
2026/03/25 05:27:46.700, 0, NVIDIA GB10, 89, 0, [N/A], [N/A], 37.18, 48
2026/03/25 05:27:47.701, 0, NVIDIA GB10, 60, 0, [N/A], [N/A], 34.24, 53
2026/03/25 05:27:48.702, 0, NVIDIA GB10, 90, 0, [N/A], [N/A], 50.38, 49
2026/03/25 05:27:49.703, 0, NVIDIA GB10, 90, 0, [N/A], [N/A], 45.05, 50
2026/03/25 05:27:50.704, 0, NVIDIA GB10, 89, 0, [N/A], [N/A], 31.44, 48
2026/03/25 05:27:51.705, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 47.81, 50
2026/03/25 05:27:52.705, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.06, 51
2026/03/25 05:27:53.706, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 38.80, 51
2026/03/25 05:27:54.707, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 45.39, 51
2026/03/25 05:27:55.707, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.45, 52
2026/03/25 05:27:56.708, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 37.90, 52
2026/03/25 05:27:57.709, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 44.98, 52
2026/03/25 05:27:58.709, 0, NVIDIA GB10, 90, 0, [N/A], [N/A], 44.96, 52
2026/03/25 05:27:59.710, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 42.67, 58
2026/03/25 05:28:00.711, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 51.65, 53
2026/03/25 05:28:01.711, 0, NVIDIA GB10, 91, 0, [N/A], [N/A], 45.40, 53
2026/03/25 05:28:02.712, 0, NVIDIA GB10, 45, 0, [N/A], [N/A], 37.88, 58
2026/03/25 05:28:03.713, 0, NVIDIA GB10, 91, 0, [N/A], [N/A], 53.16, 53
2026/03/25 05:28:04.714, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 43.07, 50
2026/03/25 05:28:05.714, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 54.92, 55
2026/03/25 05:28:06.715, 0, NVIDIA GB10, 89, 0, [N/A], [N/A], 45.12, 54
2026/03/25 05:28:07.715, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.50, 54
2026/03/25 05:28:08.716, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 42.29, 59
2026/03/25 05:28:09.717, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 57.17, 55
2026/03/25 05:28:10.718, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.46, 55
2026/03/25 05:28:11.719, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 56.32, 56
2026/03/25 05:28:12.719, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 45.91, 55
2026/03/25 05:28:13.720, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 31.99, 51
2026/03/25 05:28:14.721, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 52.39, 56
2026/03/25 05:28:15.721, 0, NVIDIA GB10, 90, 0, [N/A], [N/A], 46.09, 56
2026/03/25 05:28:16.722, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 33.90, 55
2026/03/25 05:28:17.723, 0, NVIDIA GB10, 89, 0, [N/A], [N/A], 45.99, 56
2026/03/25 05:28:18.723, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 32.54, 56
2026/03/25 05:28:19.724, 0, NVIDIA GB10, 91, 0, [N/A], [N/A], 46.09, 56
2026/03/25 05:28:20.725, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 32.87, 51
2026/03/25 05:28:21.726, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 49.65, 56
2026/03/25 05:28:22.726, 0, NVIDIA GB10, 45, 0, [N/A], [N/A], 31.49, 58
2026/03/25 05:28:23.727, 0, NVIDIA GB10, 4, 0, [N/A], [N/A], 35.34, 60
2026/03/25 05:28:24.727, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 79.15, 57
2026/03/25 05:28:25.728, 0, NVIDIA GB10, 89, 0, [N/A], [N/A], 45.82, 57
2026/03/25 05:28:26.728, 0, NVIDIA GB10, 88, 0, [N/A], [N/A], 46.01, 57
2026/03/25 05:28:27.729, 0, NVIDIA GB10, 73, 0, [N/A], [N/A], 36.05, 60
2026/03/25 05:28:28.730, 0, NVIDIA GB10, 95, 0, [N/A], [N/A], 77.25, 58
