418624,16820
418630,9968
418631,6851
422566,5950
422567,3927
422572,1952
422573,7925
424640,3450
424646,2048
424647,1401
426003,35799
426004,8794
426124,14980
426125,57964
426220,2869
426221,11009
427129,45478
427130,68190
429318,22018
429319,14787
434400,42588
435129,10135
435130,15022
435507,44551
435508,10751
436396,19158
436397,74155
438636,881
438637,3506
438643,3519
438644,867
438688,2586
438694,1577
438695,1009
439398,3470
439399,2232
439404,1105
439405,4596
445555,2489
445556,627
446464,589
446470,364
446471,224
452940,873
452941,3346
613286,1
615814,1
627283,1
660262,1
665120,1
752423,1
1020416,1
1232652,1
2008352,1
