8135,1
8140,1
8141,5
8147,17
8148,1
8153,25
8154,23
8160,108
8166,113
8167,67
8172,72
8173,283
8179,423
8180,119
8185,250
8186,373
8192,807
8198,517
8199,385
8204,206
8205,944
8211,1249
8212,291
8217,786
8218,1250
8224,2591
8230,1947
8231,1406
8236,791
8237,3453
8243,4169
8244,1079
8249,2388
8250,3903
8256,7679
8262,5552
8263,4017
8268,2193
8269,9458
8275,11360
8276,2776
8281,6480
8282,10636
8288,20066
8294,13782
8295,9641
8300,4963
8301,21079
8307,22516
8308,5658
8313,11409
8314,19011
8320,31287
8326,18975
8327,13416
8332,6103
8333,26617
8339,27057
8340,6546
8345,13122
8346,21406
8352,36030
8358,21962
8359,15735
8364,7599
8365,32116
8371,34673
8372,8468
8377,17137
8378,28301
8384,48642
8390,30432
8391,21400
8396,10501
8397,44746
8403,47825
8404,11665
8409,23845
8410,38658
8416,65503
8422,40080
8423,28065
8428,13758
8429,57667
8435,59488
8436,14506
8441,29780
8442,47643
8448,81262
8454,50426
8455,34967
8460,16837
8461,71615
8467,73413
8468,18039
8473,35757
8474,57252
8480,95915
8486,57158
8487,39789
8492,18438
8493,78772
8499,78195
8500,18976
8505,37214
8506,59802
8512,97700
8518,58333
8519,39515
8524,18874
8525,79120
8531,79215
8532,19104
8537,38573
8538,60031
8544,98028
8550,57510
8551,38929
8556,17770
8557,74769
8563,69842
8564,16675
8569,31924
8570,49733
8576,75193
8582,41400
8583,27936
8588,11852
8589,50699
8595,45490
8596,11243
8601,19263
8602,30436
8608,44101
8614,22927
8615,15730
8620,6488
8621,27341
8627,24358
8628,6045
8633,10376
8634,16593
8640,24340
8646,13397
8647,9215
8652,3938
8653,16971
8659,15635
8660,3724
8665,7094
8666,11352
8672,17899
8678,10240
8679,7012
8684,3209
8685,13670
8691,12901
8692,3133
8697,6154
8698,9696
8704,15040
8710,8561
8711,5742
8716,2605
8717,10797
8723,9973
8724,2293
8729,4400
8730,6825
8736,10244
8742,5505
8743,3764
8748,1624
8749,6900
8755,6307
8756,1458
8761,2705
8762,4282
8768,6222
8774,3237
8775,2085
8780,826
8781,3729
8787,3095
8788,692
8793,1273
8794,1955
8800,2637
8806,1354
8807,875
8812,315
8813,1463
8819,1101
8820,264
8825,445
8826,676
8832,919
8838,437
8839,309
8844,106
8845,515
8851,389
8852,101
8857,188
8858,262
8864,299
8870,142
8871,98
8876,25
8877,136
8883,135
8884,40
8889,48
8890,96
8896,129
8902,57
8903,44
8908,22
8909,62
8915,65
8916,14
8921,39
8922,53
8928,59
8934,40
8935,28
8940,11
8941,44
8947,43
8948,12
8953,14
8954,33
8960,52
8966,31
8967,23
8972,10
8973,29
8979,28
8980,10
8985,15
8986,33
8992,37
8998,27
8999,10
9004,10
9005,32
9011,12
9012,6
9017,6
9018,17
9024,22
9030,11
9031,9
9036,3
9037,18
9043,18
9044,6
9049,6
9050,12
9056,18
9062,10
9063,7
9068,5
9069,17
9075,12
9076,3
9081,7
9082,10
9088,19
9094,11
9095,10
9100,1
9101,27
9107,18
9108,5
9113,7
9114,13
9120,14
9126,13
9127,7
9132,2
9133,15
9139,16
9145,4
9146,11
9152,23
9158,9
9159,11
9164,4
9165,21
9171,18
9172,1
9177,7
9178,14
9184,18
9190,5
9191,7
9196,4
9197,17
9203,10
9204,2
9209,8
9210,10
9216,16
9222,5
9223,2
9228,4
9229,12
9235,16
9236,2
9241,5
9242,4
9248,10
9254,10
9255,5
9260,2
9261,9
9267,13
9268,1
9273,7
9274,9
9280,14
9286,8
9287,1
9292,4
9293,8
9299,6
9305,5
9306,3
9312,12
9318,6
9319,4
9324,2
9325,17
9331,3
